AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
5382,12,2089,1404,1559,0,1717,760,12,12,12.00,330,-,2.91ns,-,-,-,-,24,-,-
8842,2,1819,4455,2548,0,2258,914,3,3,3.00,20,0,2.7186ns,-,-,-,-,16,-,-
25739,6,6081,6561,10397,36,10998,3607,7,6,6.50,2664,0,2.825ns,-,-,-,-,14,-,-
8647,1,5407,3240,0,0,2259,1132,2,2,2.00,0,0,2.825ns,-,-,-,-,1,-,-
8647,1,5407,3240,0,0,2259,1132,2,2,2.00,0,0,2.825ns,-,-,-,-,1,-,-
8647,1,5407,3240,0,0,2259,1132,2,2,2.00,0,0,2.825ns,-,-,-,-,1,-,-
8647,1,5407,3240,0,0,2259,1132,2,2,2.00,0,0,2.825ns,-,-,-,-,1,-,-
6000,5,1819,2025,1618,0,2304,920,5,5,5.00,538,-,2.7341ns,-,-,-,-,33,-,-
8647,1,5407,3240,0,0,2259,1132,2,2,2.00,0,0,2.825ns,-,-,-,-,1,-,-
5003,19,1819,1215,1394,0,1718,802,19,19,19.00,575,-,2.1501ns,-,-,-,-,47,-,-
